(0)       Air                           : 446432047 
(1)       Stone                         : 101697315 
(2)       Grass                         : 972645    
(3)       Dirt                          : 12376236  
(4)       Cobblestone                   : 34415     
(5:0)     Wood Planks                   : 101011    
(5:1)     Wood Planks                   : 84        
(7)       Bedrock                       : 7026675   
(8)       Water (active)                : 15964     
(9)       Water                         : 13684674  
(10)      Lava (active)                 : 954830    
(11)      Lava                          : 149039    
(12)      Sand                          : 1792703   
(13)      Gravel                        : 3368775   
(14)      Gold Ore                      : 71070     
(15)      Iron Ore                      : 675984    
(16)      Coal Ore                      : 1266342   
(17:0)    Wood                          : 31494     
(17:1)    Pine Wood                     : 23701     
(17:2)    Birch Wood                    : 7801      
(17:3)    Jungle Wood                   : 52039     
(17:4)    Wood                          : 1949      
(17:8)    Wood                          : 1210      
(18:0)    Leaves                        : 324793    
(18:1)    Pine Leaves                   : 65976     
(18:2)    Birch Leaves                  : 35188     
(18:3)    Jungle Leaves                 : 134019    
(18:8)    Leaves (Decaying)             : 171593    
(18:9)    Pine Leaves (Decaying)        : 51603     
(18:10)   Birch Leaves (Decaying)       : 35252     
(18:11)   Jungle Leaves (Decaying)      : 55114     
(21)      Lapis Lazuli Ore              : 29383     
(24:0)    Sandstone                     : 201389    
(30)      Web                           : 27869     
(31:1)    Tall Grass                    : 79125     
(31:2)    Fern                          : 3250      
(32)      Dead Shrub                    : 24        
(35:15)   Black Wool                    : 3         
(37)      Flower                        : 3270      
(38)      Rose                          : 767       
(39)      Brown Mushroom                : 978       
(40)      Red Mushroom                  : 456       
(43:0)    Double Stone Slab             : 57        
(44:0)    Stone Slab                    : 166       
(44:5)    Stone Brick Slab              : 24        
(47)      Bookshelf                     : 408       
(48)      Moss Stone                    : 8395      
(49)      Obsidian                      : 10581     
(50)      Torch                         : 1625      
(51)      Fire                          : 140       
(52)      Monster Spawner               : 393       
(53)      Wooden Stairs                 : 659       
(54)      Chest                         : 655       
(56)      Diamond Ore                   : 26549     
(58)      Crafting Table                : 3         
(59:2)    Crops                         : 38        
(59:3)    Crops                         : 42        
(59:4)    Crops                         : 36        
(59:5)    Crops                         : 38        
(59:6)    Crops                         : 38        
(59:7)    Crops                         : 46        
(60)      Farmland                      : 364       
(61)      Furnace                       : 2         
(64)      Wooden Door                   : 82        
(65)      Ladder                        : 36        
(66)      Rail                          : 18624     
(67)      Stone Stairs                  : 104       
(71)      Iron Door                     : 56        
(72)      Wooden Pressure Plate         : 9         
(73)      Redstone Ore                  : 213008    
(74)      Redstone Ore (glowing)        : 1         
(77)      Button                        : 35        
(78)      Snow Layer                    : 135652    
(79)      Ice                           : 155486    
(80)      Snow                          : 16608     
(81)      Cactus                        : 5         
(82)      Clay                          : 51399     
(83)      Sugar Cane                    : 351       
(85)      Fence                         : 69560     
(86)      Pumpkin                       : 24        
(97:0)    Hidden Silverfish (Smooth Stone): 17860     
(97:2)    Hidden Silverfish (Stone Brick): 840       
(98:0)    Stone Bricks                  : 8537      
